"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA"
1783,"V331874_L1603_1_P.jpg",3599.3444,475.1061,0,NA,0,0,NA,0,1,144.8862,0,9,0,17,0,5,107.7033,0,NA,NA,0,707.1068,529.9358,562.6224,184.0435,700.5598,NA
1784,"V331875_L1604_1_P.jpg",3293.735,418.074,1,214.5157,0,1,347.6377,0,1,139.9428,0,7,7,18,0,5,141.2869,0,NA,NA,0,NA,NA,NA,135.3662,690.0261,0
1785,"V331876_L1605_1_P.jpg",NA,438.0387,0,NA,0,1,294.5505,0,1,167.1945,0,8,7,16,0,4,232.1077,2,292.2499,275.7716,0,593.8788,528.1363,405.2222,NA,758.5018,NA
1786,"V331877_L1606_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,758.5255,618.4658,566.1978,219,756.5058,NA
1787,"V331878_L1607_1_P.jpg",4424.7974,504.1516,0,NA,0,0,NA,0,1,188.2976,0,0,0,0,0,5,95.0789,2,374.4863,NA,0,665.4923,580.0552,592.0135,145.6022,697.7105,NA
1788,"V331879_L1608_1_P.jpg",NA,435.5073,0,NA,1,0,NA,1,1,120.4865,0,8,8,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1789,"V331879_L1608_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,693.9344,0
1790,"V331881_L1610_1_C.jpg",2792.1363,357.5138,0,NA,0,1,189.7367,0,1,77.8267,0,8,7,15,12,4,93,2,203.16,222.991,0,474.4365,411.8859,341.1569,75,683.9079,NA
1791,"V331882_L1611_1_P.jpg",2856.6318,396.2847,0,NA,0,0,NA,0,1,94.1541,0,7,9,18,11,5,118.3765,0,NA,NA,0,NA,447.3321,280.8167,97.6729,690.6519,0
1792,"V331884_L1613_1_P.jpg",NA,368.1123,0,NA,0,0,NA,0,1,110.6752,0,8,7,16,12,4,126.0357,2,324.4996,269.5329,0,480.2343,506.8846,334.994,NA,700.2607,NA
1793,"V331885_L1614_1_P.jpg",NA,NA,0,NA,1,0,NA,1,1,164.4384,0,9,8,16,0,0,221.2691,2,NA,NA,0,546.6114,NA,NA,NA,687.3136,NA
1794,"V331887_L1616_1_P.jpg",NA,352.8524,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,303.3711,231.3115,0,450.4897,399.1804,338.3622,NA,690.163,NA
1795,"V331888_L1617_1_P.jpg",3199.0256,437.7863,0,NA,0,0,NA,0,1,115.4123,0,7,0,18,11,4,255.0706,0,NA,NA,0,540.6829,NA,NA,136.6236,689.8826,NA
1796,"V331889_L1618_1_P.jpg",4399.0854,523.5002,0,NA,0,1,NA,0,1,NA,0,7,7,16,11,6,157.8354,0,NA,NA,0,NA,NA,453.2725,209.8762,693.1089,0
1797,"V331890_L1619_1_P.jpg",3255.9942,427.7376,0,NA,0,0,NA,0,1,115.8792,0,8,8,16,11,5,184.201,0,NA,NA,0,NA,NA,NA,NA,NA,0
1798,"V331890_L1619_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,521.8621,465.9667,121.4907,688.5964,0
1799,"V331892_L1621_1_P.jpg",4252.2709,504.8874,0,NA,0,0,NA,0,0,NA,0,10,7,17,12,5,128.9961,0,NA,NA,0,596.6574,662.0453,NA,167.1407,696.6089,NA
1800,"V331893_L1622_1_P.jpg",NA,525.5165,0,NA,0,0,NA,0,1,115.3776,0,9,9,17,0,0,127.122,0,NA,NA,0,NA,NA,NA,NA,NA,0
1801,"V331893_L1622_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,698.9936,0
1802,"V331895_L1624_1_P.jpg",NA,399.2937,0,NA,0,0,NA,0,1,122.45,0,0,0,18,13,5,123.3288,2,303.7269,NA,0,619.2294,414.0435,463.0508,NA,693.026,NA
1803,"V331896_L1625_1_P.jpg",NA,438.7206,0,NA,0,0,NA,0,0,NA,0,9,7,0,13,6,52.9528,0,NA,NA,0,NA,495.8911,442.1086,184.0543,702.8912,0
1804,"V331897_L1626_1_P.jpg",3776.6122,NA,0,NA,0,0,NA,0,1,136.8211,0,0,0,0,0,6,149.9333,0,NA,NA,0,NA,433.8479,540,NA,680.9523,0
1805,"V331898_L1627_1_P.jpg",NA,327.5764,1,239.2864,0,1,333.6615,0,1,175.391,0,10,8,17,0,5,157.035,2,336.8828,366.5651,0,793.2774,387.186,NA,NA,670.7198,NA
1806,"V331899_L1628_1_P.jpg",4059.0177,487.752,0,NA,0,1,337.0831,0,1,146.2942,0,10,8,16,9,4,157.4071,2,NA,335.6382,0,795.9504,559.5221,515.2407,151.6113,666.1081,NA
1807,"V331901_L1630_2_P.jpg",3371.6383,466.2714,1,152.9706,0,1,143.5618,0,1,144.0312,0,0,0,15,12,5,189.5943,2,434.2027,NA,0,804.8783,609.0665,538.3391,174.6454,665.7094,NA
1808,"V331902_L1631_1_P.jpg",NA,569.5702,0,NA,1,0,NA,1,0,NA,1,9,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,144.2498,675.4265,0
1809,"V331905_L1634_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,533.3217,137.7679,678.4983,0
1810,"V331906_L1635A_1_P.jpg",3458.7931,453.5691,0,NA,0,1,219.7385,0,1,110.1454,0,9,7,17,12,4,151.344,2,315.0571,299.1739,0,862.2169,579.6447,468.2499,150.4792,663.7597,NA
1811,"V331906_L1635C_1_C.jpg",3959.1049,463.4018,0,NA,0,1,299.8133,0,1,141.5344,0,7,8,17,0,4,NA,2,308.9336,345.5083,0,601.6644,536.8054,464.7236,NA,668.3352,NA
1812,"V331906_L1635C_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,579.8345,472.6309,NA,658.4588,0
1813,"V331906_L1635D_1_P.jpg",NA,394.8091,0,NA,0,0,NA,0,1,91.2414,0,0,0,0,15,6,88.6397,2,231.7002,232.3984,0,487.8114,NA,322.343,NA,672.5957,NA
1814,"V331907_L1636_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,83.1865,0,0,0,0,0,5,98.9545,2,214.0374,NA,0,474.0169,467.9701,304.1381,90.5539,661.6132,NA
1815,"V331909_L1638_1_P.jpg",NA,487.3352,0,NA,0,1,262.9924,0,1,67.082,0,10,9,17,11,5,141.5097,0,NA,NA,0,354.3177,377.297,NA,NA,651.5251,NA
1816,"V331910_L1639_1_P.jpg",3274.9586,407.9671,0,NA,0,0,NA,0,1,117,0,0,0,17,12,5,167.3559,2,183,245.6522,0,516.5753,478.8737,NA,NA,663.6241,NA
1817,"V331911_L1640_1_P.jpg",3668.591,458.736,0,NA,0,0,NA,0,1,118.1863,0,0,0,0,0,5,181.4166,2,326.4353,NA,0,783.2037,600,NA,153.9351,661.3078,NA
1818,"V331913_L1642_1_P.jpg",4252.3612,544.729,0,NA,0,0,NA,0,1,132.4236,0,7,7,17,14,5,156.205,2,339.5998,326.974,0,710.5153,616.636,569.21,241.7602,662.3715,NA
1819,"V331914_L1643_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,79.4292,0,0,0,0,0,0,NA,2,210,NA,0,472.3738,366.5529,355.6867,99.7246,655.6905,NA
1820,"V331915_L1644_1_P.jpg",3922.1321,520.7687,0,NA,0,0,NA,0,1,104.69,0,9,7,16,13,6,134.1641,2,251.0777,292.6568,0,765.0778,609.2881,NA,NA,665.5524,NA
1821,"V331916_L1645_1_P.jpg",NA,350.6758,0,NA,0,0,NA,0,1,118.8108,0,0,0,0,0,5,118.4061,0,NA,NA,0,NA,446.0404,338.0947,NA,664.554,0
1822,"V331917_L1646_1_P.jpg",NA,521.3269,0,NA,0,0,NA,0,1,128.5613,0,0,6,17,0,0,NA,0,NA,NA,0,NA,NA,496.7897,NA,651.4599,0
1823,"V331918_L1647_1_P.jpg",4229.0292,501.0337,1,192.0417,0,1,324.3948,0,1,136.0588,0,7,6,18,12,4,241.7602,2,402.3133,NA,0,695.8161,464.4308,NA,NA,657.474,NA
1824,"V331919_L1648_1_P.jpg",NA,NA,1,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1825,"V331919_L1648_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,453.2284,157.035,NA,0
1826,"V331919_L1648_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,667.5725,0
1827,"V331920_L1649_1_P.jpg",NA,481.6087,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,312.3139,NA,0,563.2832,503.4004,365.0589,NA,662.607,NA
1828,"V331921_L1650_1_P.jpg",3545.8338,438.4105,0,NA,0,0,NA,0,1,151.4332,0,9,7,16,12,3,225.3198,0,NA,NA,0,141.2232,533.0553,426.6017,119.4738,666.0608,NA
1829,"V331922_L1651_1_P.jpg",3396.0649,432.7445,0,NA,0,1,254.3108,0,1,100.6231,0,10,9,16,12,5,111.6468,0,NA,NA,0,NA,540.15,327.3301,180.3996,669.2421,0
1830,"V331923_L1652_1_P.jpg",2959.9436,378.79,0,NA,0,0,NA,0,1,160.3527,0,0,0,18,12,4,90.05,0,NA,NA,0,527.4713,409.4973,346.2629,152.322,664.4644,NA
1831,"V331924_L1653_1_P.jpg",3221.5838,377.2939,0,NA,0,0,NA,0,1,120.075,0,7,6,15,11,5,85.3815,0,NA,NA,0,142.5553,519.1387,505.0347,189.8552,656.4792,NA
1832,"V331925_L1654_1_P.jpg",NA,550.4597,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,130.2306,0,NA,NA,0,663.9157,520.323,485.5842,152.0526,664.5901,NA
1833,"V331926_L1656_1_P.jpg",NA,498.5003,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,584.7615,770.6731,183.8831,655.5189,0
1834,"V331927_L1657_1_P.jpg",NA,336.9163,0,NA,0,0,NA,0,1,114.9826,0,7,6,0,12,4,NA,0,NA,NA,0,195,279.7892,NA,122.1556,658.0403,NA
1835,"V331928_L1658_1_P.jpg",4454.7072,563.779,0,NA,0,1,300,0,1,144,0,9,8,17,0,5,158.2403,2,466.7676,372.9236,0,827.6134,655.0847,552.9268,252.6025,652.6745,NA
1836,"V331929_L1659_1_C.jpg",3470.3614,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,668.1916,0
1837,"V331930_L1660_1_P.jpg",NA,NA,1,115.9181,0,1,295.0542,0,1,129,0,0,0,0,0,0,NA,2,NA,NA,0,NA,636.2334,408.496,NA,659.8977,0
1838,"V331931_L1661_1_P.jpg",2511.1147,NA,0,NA,0,0,NA,0,1,132.4424,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1839,"V331931_L1661_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,285.2367,NA,0,505.3286,334.5101,258.0698,105,677.9336,0
1840,"V331932_L1662_1_P.jpg",NA,404.2646,0,NA,0,0,NA,0,1,105.0428,0,0,0,0,0,5,108.6646,0,NA,NA,0,NA,477.0849,448.6981,NA,662.9525,0
1841,"V331933_L1663_1_P.jpg",NA,402.9039,0,NA,0,1,202.094,0,1,99,0,7,0,17,0,0,147.0306,0,NA,NA,0,552.1304,467.1242,432.6662,NA,676.8309,NA
1842,"V331934_L1664_1_P.jpg",NA,NA,1,241.085,0,1,209.571,0,1,NA,0,0,0,0,0,0,NA,2,285.8199,NA,0,636,564.4865,535.3298,107.5407,657.9377,NA
1843,"V331934_L1664A_1_P.jpg",NA,487.2438,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,491.9268,NA,211.8136,657.4382,0
1844,"V331934_L1664B_1_C.jpg",3810.5244,530.982,0,NA,0,0,NA,0,0,NA,0,8,8,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1845,"V331934_L1664B_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,18,0,5,117.3456,2,249.0181,NA,0,675.4865,NA,390.2884,207.1521,661.4507,0
1846,"V331934_L1664C_1_P.jpg",1342.7152,171.0853,0,NA,0,1,93.723,0,1,67.2309,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1847,"V331934_L1664C_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,15,4,49.3964,2,80.6226,77.2528,0,NA,151.182,135.4843,NA,666.8433,0
1848,"V331935_L1665_1_P.jpg",3761.9144,NA,0,NA,0,0,NA,0,1,105.603,0,0,0,0,0,5,140.5133,2,NA,NA,0,776,583.5204,560.5283,192.0417,664.4336,NA
1849,"V331936_L1666_1_P.jpg",NA,601.661,0,NA,0,0,NA,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1850,"V331936_L1666_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,604.8471,NA,652.9931,0
1851,"V331937_L1667_1_C.jpg",NA,423.2632,0,NA,0,0,NA,0,1,94.1541,0,0,0,0,0,0,NA,0,NA,NA,0,138.8128,447.161,358.2583,NA,676.3054,NA
1852,"V331938_L1668_1_P.jpg",3787.8395,498.4396,0,NA,0,0,NA,0,1,121.4578,0,7,0,15,12,5,113.1371,2,340.6582,NA,0,643.2045,330.6478,443.9279,168.428,675.0407,NA
1853,"V331939_L1669_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,366.3659,NA,138.8524,687.9651,0
1854,"V331940_L1670_1_P.jpg",4346.1284,506.3905,0,NA,0,0,NA,0,1,152,0,9,9,17,12,5,192,2,364.3515,389.6665,0,762.5851,674.3293,562.6509,146.697,0,0
1855,"V331940_L1670_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,671.4879,0
1856,"V331942_L1672_1_P.jpg",NA,544.1126,0,NA,0,0,NA,0,1,129.1201,0,10,10,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
1857,"V331942_L1672_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,16,0,0,NA,0,NA,NA,0,216.4532,NA,NA,NA,684.1345,0
1858,"V331946_L1676_1_P.jpg",4178.1642,NA,0,NA,0,0,NA,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,665.5524,576.0556,205.6794,665.5163,0
1859,"V331947_L1677_1_P.jpg",2825.949,358.094,1,129.8692,0,1,256.3201,0,1,117.1537,0,9,0,18,0,5,133.66,2,NA,NA,0,NA,NA,NA,NA,NA,0
1860,"V331947_L1677_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,258.4357,NA,0,480.4592,373.3644,333.0135,129.244,669.0269,0
1861,"V331948_L1678_1_C.jpg",3591.3786,469.3967,0,NA,0,0,NA,0,1,131.5751,0,9,8,18,13,4,128.0625,2,NA,NA,0,NA,394.8671,NA,113.7014,656.1097,0
1862,"V331949_L1679_1_P.jpg",3548.5682,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,304.1052,NA,0,568.1267,428.1682,441.2709,196.1632,658.2401,NA
1863,"V331950_L1680_1_P.jpg",NA,499.0384,0,NA,0,0,NA,0,1,90.6973,0,0,0,0,0,6,115.8016,0,NA,NA,0,NA,NA,NA,NA,NA,0
1864,"V331950_L1680_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,569.123,590.0932,235.2275,660.6815,0
1865,"V331951_L1681_1_P.jpg",2924.1522,350.4817,0,NA,0,0,NA,0,0,NA,0,8,0,17,0,6,135.3662,0,NA,NA,0,117.652,495.3272,373.9906,135.5323,657.0616,NA
1866,"V331952_L1682_1_P.jpg",3704.7731,461.8505,0,NA,0,0,NA,0,1,90.2441,0,9,8,16,12,4,103.846,2,320.9237,NA,0,659.6605,501.007,520.2,247.4187,662.6251,NA
1867,"V331953_L1683_1_P.jpg",3020.1523,362.7855,0,NA,0,1,150.03,0,1,90.7965,0,11,8,18,0,6,78,0,NA,NA,0,NA,482.4034,397.4519,136.6236,673.7722,0
1868,"V331954_L1684_1_P.jpg",3302.6825,396.031,0,NA,0,1,180.4993,0,1,NA,0,8,7,18,12,4,104.7855,2,207.8677,171.8139,0,527.8039,457.2319,343.0117,152.322,656.4792,NA
1869,"V331955_L1685_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,119.5492,0,0,0,0,0,5,132.5745,0,NA,NA,0,NA,360.8545,298.0067,129.0736,662.2054,0
1870,"V331959_L1689_1_P.jpg",3006.4985,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,NA,NA,633.7957,0
1871,"V331960_L1690_1_P.jpg",NA,488.3126,1,128.8255,0,1,261.8435,0,1,110.0227,0,10,0,0,13,6,83.678,0,NA,NA,0,194.8153,611.1317,438.7904,98.4073,639.176,NA
1872,"V331961_L1691_1_P.jpg",3702.8011,420.2682,0,NA,0,0,NA,0,0,NA,0,0,0,16,13,5,88.8144,0,NA,NA,0,NA,NA,NA,198.5951,641.0117,0
1873,"V331962_L1692_1_C.jpg",3940.3249,470.0114,0,NA,0,1,256.7801,0,1,123.4828,0,6,8,17,12,6,108.074,0,NA,NA,0,69.857,513.077,NA,NA,650.9685,NA
1874,"V331963_L1693_1_P.jpg",2854.4129,340.4464,0,NA,0,0,NA,0,1,67.4166,0,0,0,17,0,3,NA,0,NA,NA,0,NA,304.5406,357.8058,97.1648,639.535,0
1875,"V331964_L1694_1_P.jpg",4128.0484,NA,0,NA,0,0,NA,0,0,NA,0,10,9,18,0,0,NA,0,NA,NA,0,179.1089,632,447.7857,97.4064,638.6486,NA
1876,"V331965_L1695_1_P.jpg",3647.7982,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,640.05,0
1877,"V331966_L1696_1_P.jpg",3192.1819,NA,1,127.3499,0,1,135.5655,0,1,106.827,0,10,8,17,11,6,90.05,0,NA,NA,0,277.9658,449.3295,NA,97.949,642.007,NA
1878,"V331967_L1697_1_C.jpg",3102.809,452.3526,0,NA,0,0,NA,0,1,80,0,0,0,16,13,4,93.3809,0,NA,NA,0,573.3969,464.7236,304.1052,NA,642.109,NA
1879,"V331968_L1698_1_P.jpg",3746.4031,546.8853,0,NA,0,0,NA,0,1,32.311,0,8,8,17,0,5,125.2996,0,NA,NA,0,677.3862,NA,NA,120,637.4261,NA
1880,"V331969_L1699_1_C.jpg",NA,534.9831,0,NA,0,0,NA,0,1,102.6158,0,8,0,0,0,0,NA,0,NA,NA,0,601.2362,NA,NA,143.028,634.4769,NA
1881,"V331970_L1700_1_P.jpg",NA,443.6858,0,NA,0,1,269.8833,0,1,120.1499,0,11,0,17,0,6,144.0312,0,NA,NA,0,NA,NA,NA,NA,647.868,0
1882,"V331971_L1701_1_P.jpg",2779.9513,339.5936,0,NA,0,0,NA,0,1,89.4986,0,0,0,18,11,5,152.7645,2,234.3075,231.0195,0,412.4427,306.4702,341.526,127.6323,641.1653,NA
1883,"V331972_L1702_1_P.jpg",NA,411.5167,0,NA,1,1,283.4802,0,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,401.8768,NA,NA,639.0634,0
1884,"V331973_L1703_1_P.jpg",NA,519.3377,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,389.2351,386.6988,0,NA,NA,NA,NA,NA,0
1885,"V331973_L1703_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,474.4007,NA,653.7645,0
1886,"V331974_L1704_1_C.jpg",3742.38,501.4518,1,226.3449,0,1,358.7757,0,1,161.2452,0,9,7,16,9,4,198.5951,2,NA,NA,0,587.2512,679.2584,601.1323,218.2476,651.7177,NA
1887,"V331975_L1705_1_P.jpg",3162.0356,377.1531,1,266.5277,0,1,348.3102,0,1,110.6345,0,9,8,17,12,4,150.4792,2,312.0288,NA,0,437.4757,384.948,353.9619,138.7155,640.4069,NA
1888,"V331976_L1706_1_P.jpg",3592.5701,NA,0,NA,0,1,200.9975,0,1,162.8251,0,0,0,0,0,6,101.9804,2,360.9986,320.3248,0,596.8584,598.2642,593.9562,183.5647,641.0117,NA
1889,"V331977_L1707_1_C.jpg",NA,299.1661,0,NA,0,0,NA,0,1,145.6468,0,0,0,0,0,6,87.8237,2,NA,NA,0,317.9717,315.1285,264.6979,114.826,640.3788,NA
1890,"V331977_L1707_1_P.jpg",NA,324.3982,0,NA,1,0,NA,1,1,126.0357,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,648.5623,0
1891,"V331978_L1708_1_P.jpg",3530.5954,532.9529,0,NA,0,0,NA,0,1,108.8118,0,0,0,17,0,4,131.0267,2,323.0108,NA,0,NA,572.4334,422.2985,132.2422,644.0497,NA
1892,"V331979_L1709_1_P.jpg",2975.7974,359.6619,0,NA,0,1,205.2316,0,1,117.3456,0,0,0,0,0,5,96.7471,0,NA,NA,0,135,411.3502,315.5139,74.2159,641.8107,NA
1893,"V331980_L1710_1_P.jpg",3801.6502,460.8586,0,NA,0,1,203.3027,0,1,NA,0,9,7,16,10,5,80.7775,0,NA,NA,0,144.2498,504.3213,448.0357,118.6802,651.1106,NA
1894,"V331981_L1711_1_P.jpg",NA,447.5937,0,NA,0,0,NA,0,1,93.145,0,10,0,16,0,0,114.826,0,NA,NA,0,166.6283,537.762,512.0957,188.4516,639,NA
1895,"V331982_L1712_1_P.jpg",2517.0286,320.5552,0,NA,0,0,NA,0,1,93.145,0,0,0,0,0,4,132.8157,0,NA,NA,0,NA,309,271.6616,82.5409,639.8515,0
1896,"V331983_L1713_1_P.jpg",NA,330.5288,0,NA,0,0,NA,0,1,96.6075,0,0,0,0,0,6,78.5175,0,NA,NA,0,124.3101,439.7329,322.0078,99.0454,636.8273,NA
1897,"V331984_L1714_1_P.jpg",3602.9677,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,638.6611,0
1898,"V331985_L1715_1_P.jpg",NA,395.897,0,NA,0,0,NA,0,0,NA,0,0,7,0,0,0,NA,0,NA,NA,0,NA,412.6984,NA,NA,636.6475,0
1899,"V331986_L1716_1_P.jpg",3039.0533,383.5499,0,NA,0,0,NA,0,1,75.2396,0,7,7,18,13,4,154.4345,0,NA,NA,0,168.428,298.3907,328.7704,133.2216,636.8556,NA
1900,"V331987_L1717_1_C.jpg",3730,423.1582,0,NA,0,0,NA,1,1,107.0794,0,0,0,19,0,0,NA,2,348.1681,NA,0,683.3154,NA,518.4101,NA,649.5329,NA
1901,"V331988_L1718_1_P.jpg",4414.7027,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,291.122,302.1523,0,794.3803,659.0781,NA,137.9275,640.6122,NA
1902,"V331989_L1719_1_C.jpg",NA,359.2758,0,NA,0,0,NA,0,1,100.6231,0,8,6,18,12,4,149.1878,2,208.9043,NA,0,NA,NA,NA,NA,640.0625,NA
1903,"V331989_L1719_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,NA,0,349.1246,NA,NA,NA,642.1472,NA
1904,"V331991_L1721_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,73.2393,0,0,0,0,0,6,125.2837,0,NA,NA,0,NA,354.7746,264.9698,NA,633.8596,0
1905,"V331992_L1722_1_P.jpg",3235.01,405.2866,1,151.7004,0,1,250.064,0,1,89.8999,0,9,7,17,15,4,122.4132,2,198.658,NA,0,460.1358,473.5441,328.9073,NA,638.8591,NA
1906,"V331993_L1723_1_P.jpg",2893.4825,397.4591,0,NA,1,0,NA,1,0,NA,1,0,7,17,0,0,NA,2,304.7917,253.4423,0,554.351,257.5985,265.8007,108.706,641.1653,NA
1907,"V331994_L1724_1_P.jpg",NA,500.7475,1,185.9516,0,1,218.4033,0,1,150.8675,0,9,8,16,12,5,198.3633,2,370.1081,420.5247,0,702.282,618.7277,538.2388,NA,633.8809,NA
1908,"V331995_L1725_1_P.jpg",3742.831,482.7984,0,NA,0,0,NA,0,0,NA,0,0,0,17,12,4,167.0928,2,283.3231,261.8396,0,544.4998,492.065,470.7441,195.182,624.6407,NA
1909,"V331996_L1726_1_P.jpg",NA,354.3935,0,NA,0,1,145.3994,0,1,98.0867,0,0,0,0,0,6,NA,2,184.2995,NA,0,306.9447,249.6328,243.1827,NA,637.0653,NA
1910,"V331997_L1727_1_P.jpg",NA,381.138,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,481.918,424.7941,NA,741.1518,0
1911,"V331998_L1728_1_P.jpg",3500.8754,491.7945,0,NA,0,0,NA,0,1,113.565,0,0,0,18,14,4,85.8021,0,NA,NA,0,NA,370.7519,464.2252,180.2498,632.4879,0
1912,"V331999_L1729_1_P.jpg",2509.9163,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,381.366,359.825,51.3517,640.5825,0
1913,"V332000_L1730_1_P.jpg",2754.4591,364.2455,0,NA,0,1,205.2754,0,1,73.7902,0,8,7,17,13,5,105.385,2,NA,287.1237,0,475.8571,363.0124,380.2907,NA,636.2334,NA
1914,"V332002_L1732_1_P.jpg",2393.5568,324.1195,0,NA,0,1,NA,0,1,104.3072,0,0,0,0,0,0,72.0278,0,NA,NA,0,NA,NA,NA,NA,NA,0
1915,"V332002_L1732_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,644.0124,0
1916,"V332003_L1734_1_P.jpg",NA,447.6536,0,NA,0,1,282.6447,0,1,135.3514,0,0,0,0,0,5,154.4021,2,388.3298,NA,0,460.0174,345.5083,476.6047,112.641,640.5248,NA
1917,"V332004_L1735_1_P.jpg",2203.529,299.641,0,NA,0,0,NA,0,1,56.0357,0,0,0,0,0,4,130.0615,2,NA,268.8122,0,NA,NA,NA,NA,NA,NA
1918,"V332004_L1735_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,440.477,282.0284,293.7482,130.6139,644.8876,NA
1919,"V332005_L1736_1_P.jpg",3065.4892,417.4236,1,192.585,0,1,349.368,0,1,158.4045,0,0,0,17,12,6,119.0966,2,368.9512,329.1398,0,NA,NA,NA,NA,NA,NA
1920,"V332005_L1736_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,646.7836,516.6014,459.2254,177.1779,646.2546,NA
