fish_id,part_row_id,measure,part_value,part_scale,cpart_row_id,cpart_value,cpart_scale,var_type,scale,absolute_diff,relative_diff,exceeds_threshold
V330542,163,MAV,0,691.9075,162,10,688.7438,count,690.32565,10,1,TRUE
V330542,163,MPT,0,691.9075,162,4,688.7438,count,690.32565,4,1,TRUE
V330548,168,MDS3,1,704.8659,167,0,694.2881,binary,699.577,1,1,TRUE
V330548,168,DS3,118.8486,704.8659,167,0,694.2881,continuous,699.577,118.8486,0.16988637419469194,TRUE
V330548,168,MAV,0,704.8659,167,12,694.2881,count,699.577,12,1,TRUE
V330548,168,MPT,3,704.8659,167,0,694.2881,count,699.577,3,1,TRUE
V330549,170,MDS2,1,734,169,0,710.5378,binary,722.2689,1,1,TRUE
V330549,170,MDS3,0,734,169,1,710.5378,binary,722.2689,1,1,TRUE
V330549,170,DS2,257.6199,734,169,0,710.5378,continuous,722.2689,257.6199,0.35668142432825223,TRUE
V330549,170,ECT,350.8219,734,169,534.161,710.5378,continuous,722.2689,183.33909999999992,0.253837732733612,TRUE
V330549,170,DS3,0,734,169,153.8831,710.5378,continuous,722.2689,153.8831,0.21305513777486473,TRUE
V330549,170,MDF,0,734,169,10,710.5378,count,722.2689,10,1,TRUE
V330549,170,MAF,0,734,169,8,710.5378,count,722.2689,8,1,TRUE
V330549,170,MCV,0,734,169,17,710.5378,count,722.2689,17,1,TRUE
V330549,170,MAV,0,734,169,12,710.5378,count,722.2689,12,1,TRUE
V330555,173,MDS3,0,NA,172,1,731.1689,binary,731.1689,1,1,TRUE
V330555,174,MDS2,0,704.8723,172,1,731.1689,binary,718.0206000000001,1,1,TRUE
V330555,174,MDS3,0,704.8723,172,1,731.1689,binary,718.0206000000001,1,1,TRUE
V330555,174,DS2,0,704.8723,172,255.8124,731.1689,continuous,718.0206000000001,255.8124,0.35627445786374373,TRUE
V330555,174,DS3,0,704.8723,172,210.2189,731.1689,continuous,718.0206000000001,210.2189,0.2927755833189187,TRUE
V330555,173,DS3,0,NA,172,210.2189,731.1689,continuous,731.1689,210.2189,0.28751072426630836,TRUE
V330557,177,MDS3,0,NA,176,1,682.7825,binary,682.7825,1,1,TRUE
V330557,178,MDS2,0,704.5566,176,1,682.7825,binary,693.6695500000001,1,1,TRUE
V330557,178,DS2,0,704.5566,176,301.7018,682.7825,continuous,693.6695500000001,301.7018,0.4349359143701781,TRUE
V330557,177,DS3,0,NA,176,122.4418,682.7825,continuous,682.7825,122.4418,0.17932767755471177,TRUE
V330557,177,DS2,240.6657,NA,176,301.7018,682.7825,continuous,682.7825,61.036100000000005,0.08939318157685647,TRUE
V330557,178,ECT,543.0727,704.5566,176,597.1265,682.7825,continuous,693.6695500000001,54.05379999999991,0.07792442381246215,TRUE
V330557,178,PMX,101.2719,704.5566,176,154.5057,682.7825,continuous,693.6695500000001,53.23379999999999,0.0767423047472676,TRUE
V330557,178,MDF,10,704.5566,176,0,682.7825,count,693.6695500000001,10,1,TRUE
