"fish_id","n","ID","part_type","bin","merged","X","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","CSTRAT","ISTRAT","YEAR","INT"
"V333601",3170,"V333601_L3445_1_P.jpg","merged","L3445",TRUE,3170,NA,NA,0,0,0,1,431.7708,0,1,177.2287,0,0,0,0,0,NA,NA,0,NA,NA,0,178.5189,707.8029,NA,NA,769.8961,NA,256.45,530.8,17330.323,17500
"V333602",3171,"V333602_L3446_1_P.jpg","merged","L3446",TRUE,3171,3608.5676,457.6047,0,0,0,0,0,0,1,NA,0,7,7,17,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,761.0099,0,651.55,135.7,4535.838,4750
"V333604",3172,"V333604_L3448_1_P.jpg","merged","L3448",TRUE,3172,NA,NA,0,0,0,0,0,0,1,138.2932,0,0,0,0,0,4,NA,0,NA,NA,0,NA,227.0705,306.2352,101.9117,759.0059,0,135.45,651.8,21248.654,21250
"V333605",3173,"V333605_L3449_1_P.jpg","merged","L3449",TRUE,3173.5,3705.1596,402.0501,1,58.18075,0,0,0,0,1,64.56005,0,10,0,17,13,6,138.5208,0,NA,NA,0,214.4015,513.2563,572.4963,125.6344,741.3393,0,135.95,651.3,21232.462,21250
"V333606",3175,"V333606_L3450_1_P.jpg","merged","L3450",TRUE,3175,NA,464.7253,0,0,0,0,0,0,1,93.5094,0,0,0,0,15,5,158.2403,0,NA,NA,0,283.196,322.8932,378.9934,129.6919,737.0129,NA,513.1,274.15,9019.251,9250
"V333607",3176,"V333607_L3451_1_P.jpg","merged","L3451",TRUE,3176,3957.4706,516.7926,0,0,0,0,0,0,0,0,0,0,0,16,13,5,88.0909,0,NA,NA,0,NA,466.236,660.2424,98.7927,758.0712,0,644.25,143,4772.233,5000
"V333609",3177,"V333609_L3453_1_P.jpg","merged","L3453",TRUE,3177,3009.9585,411.2599,0,0,0,0,0,0,1,82.5409,0,0,0,0,0,5,141.5097,0,NA,NA,0,NA,573.0079,393.103,171.2104,757.0588,0,139.35,647.9,21122.36,21250
"V333610",3178,"V333610_L3454_1_P.jpg","merged","L3454",TRUE,3178.5,1525.9655,NA,0,0,0,1,39.25875,0,1,31.5357,0,0,0,0,0,5,NA,0,NA,NA,0,NA,192.9819,NA,NA,760.0132,0,257.2,530.05,17306.035,17500
"V333611",3180,"V333611_L3455_1_P.jpg","merged","L3455",TRUE,3180.5,NA,535.0653,0,0,0,0,0,0,0,0,0,10,9,17,0,0,120.0375,2,343.3133,NA,0,799.7462,NA,NA,NA,747.2168,0,512.7,274.55,9032.204,9250
"V333613",3182,"V333613_L3457_1_P.jpg","merged","L3457",TRUE,3182,NA,561.0968,0,0,0,0,0,0,1,133.7946,0,12,8,17,14,4,99.0454,2,319.1442,381.3896,0,789.6898,612.4704,640.7722,NA,758.1458,NA,513.6,273.65,9003.059,9250
"V333614",3183,"V333614_L3458_1_P.jpg","merged","L3458",TRUE,3183,NA,503.8472,0,0,0,1,258.0698,0,1,113.2078,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,773.8953,0,218.05,569.2,18573.826,18750
"V333616",3184,"V333616_L3460_1_P.jpg","merged","L3460",TRUE,3184,1560.9331,188.2282,0,0,0,0,0,0,1,66.5733,0,8,9,18,14,5,39.2938,0,NA,NA,0,NA,172.4181,160.1624,44.7214,772.5827,0,145.05,642.2,20937.778,21000
"V333617",3185,"V333617_L3461_1_P.jpg","merged","L3461",TRUE,3185,4330.8198,521.6051,0,0,0,0,0,0,1,144.4991,0,9,10,17,0,6,144.4991,0,NA,NA,0,228.0351,647.2218,NA,252.6341,797.0044,NA,253.15,534.1,17437.186,17500
