fish_id,measure,part_value,part_scale,has_multiple_values.x,cpart_value,cpart_scale,has_multiple_values.y,var_type,scale,absolute_diff,relative_diff,exceeds_threshold,multiple_measurements
V330558,MCV,18,711.6516,FALSE,0,715.5977,TRUE,count,713.62465,18,0.0035781884367461266,TRUE,TRUE
V330558,MAV,11,711.6516,FALSE,5,715.5977,TRUE,count,713.62465,6,0.0011927294789153755,TRUE,TRUE
V330558,MPT,5,711.6516,FALSE,1.5,715.5977,TRUE,count,713.62465,3.5,6.957588627006357e-4,TRUE,TRUE
V330559,DS1,0,723,FALSE,202.8694,721.224,FALSE,continuous,722.1120000000001,202.8694,0.28093896791633427,TRUE,FALSE
V330559,ECT,386.6277,723,FALSE,331.8795,721.224,FALSE,continuous,722.1120000000001,54.7482,0.07581677080563679,TRUE,FALSE
V330559,MCV,18,723,FALSE,0,721.224,FALSE,count,722.1120000000001,18,0.0035781884367461266,TRUE,FALSE
V330559,MDF,9,723,FALSE,0,721.224,FALSE,count,722.1120000000001,9,0.0017890942183730633,TRUE,FALSE
V330559,MAF,7,723,FALSE,0,721.224,FALSE,count,722.1120000000001,7,0.0013915177254012715,TRUE,FALSE
V330559,MAV,11,723,FALSE,12,721.224,FALSE,count,722.1120000000001,1,1.987882464858959e-4,TRUE,FALSE
V330560,DS2,0,712.6402,FALSE,262.7206,701.2886,FALSE,continuous,706.9644000000001,262.7206,0.37161786364348753,TRUE,FALSE
V330560,DS3,0,712.6402,FALSE,136.4177,701.2886,FALSE,continuous,706.9644000000001,136.4177,0.19296261593935987,TRUE,FALSE
V330560,LPT,128.0625,712.6402,FALSE,176.0202,701.2886,FALSE,continuous,706.9644000000001,47.95769999999999,0.06783608905908131,TRUE,FALSE
V330561,MAF,4.5,700.3456,TRUE,0,706.2691,FALSE,count,703.30735,4.5,8.945471091865317e-4,TRUE,TRUE
V330561,MDF,4.5,700.3456,TRUE,0,706.2691,FALSE,count,703.30735,4.5,8.945471091865317e-4,TRUE,TRUE
V330562,DS3,0,701.2589,FALSE,91.0824,672.7258,FALSE,continuous,686.99235,91.0824,0.1325813890067335,TRUE,FALSE
V330562,MPT,0,701.2589,FALSE,4,672.7258,FALSE,count,686.99235,4,7.951529859435836e-4,TRUE,FALSE
V330565,MPT,0,702.5447,TRUE,6,702.9097,FALSE,count,702.7272,6,0.0011927294789153755,TRUE,TRUE
V330567,PMX,165.3269,717.6211,FALSE,72,689.9623,FALSE,continuous,703.7917,93.3269,0.13260585482892168,TRUE,FALSE
V330568,DS2,245.5239,693.3181,FALSE,0,711.7654,FALSE,continuous,702.54175,245.5239,0.3494794437483609,TRUE,FALSE
V330568,DS3,117.1537,693.3181,FALSE,0,711.7654,FALSE,continuous,702.54175,117.1537,0.16675692227543773,TRUE,FALSE
