"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0725",469.85,317.4,10419.811,10500
"L0726",388.15,399.1,13065.494,13250
"L0727",388.35,398.9,13059.018,13250
"L0728",545,242.25,7986.236,8000
"L0729",543.1,244.15,8047.764,8250
"L0730",365.05,422.2,13813.539,14000
"L0731",545,242.25,7986.236,8000
"L0732",386.45,400.8,13120.545,13250
"L0733",469.95,317.3,10416.573,10500
"L0734",469.95,317.3,10416.573,10500
"L0735",522.6,264.65,8711.613,8750
"L0736",522.6,264.65,8711.613,8750
"L0737",386.45,400.8,13120.545,13250
"L0738",363.55,423.7,13862.114,14000
"L0739",363.35,423.9,13868.59,14000
"L0740",363.95,423.3,13849.161,14000
"L0741",520.3,266.95,8786.094,9000
"L0742",470.2,317.05,10408.477,10500
"L0743",383.95,403.3,13201.503,13250
"L0744",458.65,328.6,10782.5,11000
"L0745",520.3,266.95,8786.094,9000
"L0746",520.3,266.95,8786.094,9000
"L0747",520.3,266.95,8786.094,9000
"L0748",387.85,399.4,13075.209,13250
"L0749",481.8,305.45,10032.836,10250
"L0750",520.3,266.95,8786.094,9000
"L0751",393.4,393.85,12895.484,13000
"L0752",543.9,243.35,8021.857,8250
"L0753",471.7,315.55,10359.903,10500
"L0754",365.35,421.9,13803.825,14000
"L0755",362.6,424.65,13892.878,14000
"L0756",470.7,316.55,10392.286,10500
"L0757",543.8,243.45,8025.096,8250
"L0758",520.1,267.15,8792.571,9000
"L0759",520.1,267.15,8792.571,9000
"L0760",520.1,267.15,8792.571,9000
"L0761",520.1,267.15,8792.571,9000
"L0762",544.1,243.15,8015.381,8250
"L0763",543.8,243.45,8025.096,8250
"L0764",471.8,315.45,10356.665,10500
"L0765",521.1,266.15,8760.188,9000
"L0766",368.95,418.3,13687.246,13750
"L0767",521.1,266.15,8760.188,9000
"L0768",521.1,266.15,8760.188,9000
"L0769",371.05,416.2,13619.242,13750
"L0770",521.1,266.15,8760.188,9000
"L0771",378.45,408.8,13379.609,13500
"L0772",521.1,266.15,8760.188,9000
"L0773",353.5,433.75,14187.562,14250
"L0774",388.65,398.6,13049.303,13250
"L0775",369.45,417.8,13671.055,13750
"L0776",369.45,417.8,13671.055,13750
"L0777",369.15,418.1,13680.77,13750
"L0778",521.1,266.15,8760.188,9000
"L0779",471.2,316.05,10376.094,10500
"L0780",375.05,412.2,13489.71,13500
